Country,Literacy rate (all),Male literacy,Female literacy,Gender difference,Year,Notes,Country Name,Country Code,undernourished rate in (2019),IncomeGroup,GDP per capita (2019)
Jordan,98.2,98.6,97.8,0.8,1/01/2018,,Jordan,JOR,,Lower middle income,4159.65
Kazakhstan,99.8,99.8,99.7,0.1,1/01/2018,,Kazakhstan,KAZ,2.5,Upper middle income,9812.6
Kenya,81.5,85.0,78.2,6.8,1/01/2018,,Kenya,KEN,23.0,Lower middle income,1970.08
Kiribati,,,,,,,Kiribati,KIR,12.2,Lower middle income,1745.73
Kuwait,96.5,97.1,95.4,1.7,1/01/2020,,Kuwait,KWT,2.6,High income,31230.17
Latvia,99.9,99.9,99.9,0.0,1/01/2018,,Latvia,LVA,2.5,High income,17883.35
Lebanon,95.1,96.9,93.3,3.6,1/01/2018,,Lebanon,LBN,,Lower middle income,8925.42
Lesotho,79.4,70.1,88.3,18.2,1/01/2015,,Lesotho,LSO,38.1,Lower middle income,1074.13
Liberia,48.3,62.7,34.1,28.6,1/01/2017,,Liberia,LBR,36.9,Low income,665.88
Libya,91.0,96.7,85.6,11.1,1/01/2015,,Libya,LBY,7.7,Upper middle income,10972.9
Liechtenstein,100.0,,,,,,Liechtenstein,LIE,,High income,167259.16
Lithuania,99.8,99.8,99.8,0.0,1/01/2015,,Lithuania,LTU,2.5,High income,19615.55
Luxembourg,100.0,,,,,,Luxembourg,LUX,2.5,High income,112726.44
Madagascar,76.7,78.4,75.1,3.3,1/01/2018,,Madagascar,MDG,47.1,Low income,512.28
Malawi,62.1,69.8,55.2,14.6,1/01/2015,,Malawi,MWI,16.5,Low income,587.12
Malaysia,95.0,96.2,93.6,2.6,1/01/2019,,Malaysia,MYS,3.8,Upper middle income,11132.1
Maldives,97.7,97.3,98.1,0.8,1/01/2016,,Maldives,MDV,,Upper middle income,11349.86
Mali,35.5,46.2,25.7,20.5,1/01/2018,,Mali,MLI,6.6,Low income,840.18
Malta,94.5,93.0,96.0,3.0,1/01/2018,,Malta,MLT,2.8,High income,31751.18
Marshall Islands,98.3,98.3,98.2,0.1,1/01/2011,,Marshall Islands,MHL,,Upper middle income,5186.83
Mauritania,53.5,63.7,43.4,20.3,1/01/2017,,Mauritania,MRT,7.0,Lower middle income,1800.88
Mauritius,91.3,93.4,89.4,4.0,1/01/2018,,Mauritius,MUS,6.6,Upper middle income,11403.25
Mexico,95.2,96.1,94.5,1.6,1/01/2020,,Mexico,MEX,2.8,Upper middle income,10434.57
Moldova,99.4,99.7,99.1,0.6,1/01/2015,,Moldova,MDA,2.5,Upper middle income,4405.33
Monaco,99.0,,,,,,Monaco,MCO,,High income,199382.84
Mongolia,99.2,99.1,99.2,0.1,1/01/2020,,Mongolia,MNG,5.1,Upper middle income,4394.95
Montenegro,98.8,99.5,98.3,1.2,1/01/2018,,Montenegro,MNE,2.5,Upper middle income,8909.65
Morocco,73.8,83.3,64.6,18.7,1/01/2018,,Morocco,MAR,4.2,Lower middle income,3498.58
Mozambique,60.7,72.6,50.3,22.3,1/01/2017,,Mozambique,MOZ,27.0,Low income,512.22
Myanmar,89.1,92.4,86.3,6.1,1/01/2019,,Myanmar,MMR,2.9,Lower middle income,1415.25
Namibia,91.5,91.6,91.4,0.2,1/01/2018,,Namibia,NAM,17.6,Upper middle income,5126.18
Nauru,95.0,,,,,,Nauru,NRU,,High income,10316.53
Nepal,67.9,78.6,59.7,18.9,1/01/2018,,Nepal,NPL,4.9,Lower middle income,1185.68
Netherlands,99.0,,,,,,Netherlands,NLD,2.5,High income,52476.27
New Zealand,99.0,,,,,,New Zealand,NZL,2.5,High income,42747.21
Nicaragua,82.6,82.4,82.8,0.4,1/01/2015,,Nicaragua,NIC,17.5,Lower middle income,1905.64
Niger,35.1,43.6,26.7,16.9,1/01/2018,,Niger,NER,11.9,Low income,549.82
Nigeria,62.0,71.3,52.7,18.6,1/01/2018,,Nigeria,NGA,12.4,Lower middle income,2334.02
North Macedonia,98.4,99.1,97.6,1.5,1/01/2020,,North Macedonia,MKD,2.9,Upper middle income,6718.86
Norway,100.0,,,,,,Norway,NOR,2.5,High income,76430.59
Oman,95.7,97.0,92.7,4.3,1/01/2018,,Oman,OMN,3.1,High income,19132.15
Pakistan,58.0,69.3,46.5,22.8,1/01/2019,,Pakistan,PAK,13.1,Lower middle income,1437.17
Palau,96.6,96.8,96.3,0.5,1/01/2015,,Palau,PLW,,High income,15730.56
Panama,95.7,98.8,95.4,3.4,1/01/2019,,Panama,PAN,4.7,High income,16472.83
Papua New Guinea,64.2,65.6,62.8,2.8,1/01/2015,,Papua New Guinea,PNG,23.1,Lower middle income,2593.78
Paraguay,94.5,94.9,94.2,0.7,1/01/2020,,Paraguay,PRY,3.3,Upper middle income,5807.84
Peru,94.5,97.0,92.0,5.0,1/01/2020,,Peru,PER,6.2,Upper middle income,6956.5
Philippines,96.3,95.7,96.9,1.2,1/01/2019,,Philippines,PHL,5.0,Lower middle income,3413.85
Poland,99.8,99.9,99.7,0.2,1/01/2015,,Poland,POL,2.5,High income,15700.01
Portugal,96.1,97.4,95.1,2.3,1/01/2018,,Portugal,PRT,2.5,High income,23330.82
Qatar,93.5,92.4,94.7,2.3,1/01/2017,,Qatar,QAT,,High income,62827.4
Romania,98.8,99.1,98.6,0.5,1/01/2018,,Romania,ROU,2.5,High income,12958.0
Russia,99.7,99.7,99.7,0.0,1/01/2018,,Russia,RUS,2.5,High income,11447.7
Rwanda,73.2,77.6,69.4,8.2,1/01/2018,,Rwanda,RWA,32.7,Low income,806.33
Samoa,99.1,99.0,99.2,0.2,1/01/2018,,Samoa,WSM,7.4,Lower middle income,4308.3
San Marino,99.9,99.9,99.9,0.0,1/01/2018,,San Marino,SMR,,High income,47287.4
Saudi Arabia,97.6,98.6,96.0,2.6,1/01/2020,,Saudi Arabia,SAU,4.6,High income,23405.71
Senegal,51.9,64.8,39.8,25.0,1/01/2017,,Senegal,SEN,6.3,Lower middle income,1462.68
Serbia,99.5,99.9,99.1,0.8,1/01/2019,,Serbia,SRB,2.5,Upper middle income,7417.21
Seychelles,95.9,95.4,96.4,1.0,1/01/2018,,Seychelles,SYC,4.0,High income,19141.51
Sierra Leone,43.2,51.6,39.8,11.8,1/01/2018,,Sierra Leone,SLE,27.5,Low income,506.61
Singapore,97.5,98.9,96.1,2.8,1/01/2019,,Singapore,SGP,,High income,66081.72
Slovenia,99.7,99.7,99.7,0.0,1/01/2015,,Slovenia,SVN,2.5,High income,26042.45
Solomon Islands,77.0,,,,,,Solomon Islands,SLB,19.9,Lower middle income,2398.77
Somalia,39.0,,,,,,Somalia,SOM,51.9,Low income,589.47
South Africa,95.0,95.5,94.5,1.0,1/01/2019,,South Africa,ZAF,6.1,Upper middle income,6702.53
South Sudan,34.5,40.3,28.9,11.4,1/01/2018,,South Sudan,SSD,,Low income,
Spain,98.6,99.0,98.2,0.8,1/01/2020,,Spain,ESP,2.5,High income,29581.52
Sri Lanka,92.3,93.0,91.6,1.4,1/01/2019,,Sri Lanka,LKA,6.4,Lower middle income,4082.69
Sudan,60.7,65.4,56.1,9.3,1/01/2018,,Sudan,SDN,11.3,Low income,748.01
Suriname,94.4,96.1,92.7,3.4,1/01/2018,,Suriname,SUR,9.0,Upper middle income,6690.04
Eswatini,88.4,88.3,88.5,0.2,1/01/2018,,Eswatini,SWZ,12.1,Lower middle income,3843.38
Sweden,99.0,,,,,,Sweden,SWE,2.5,High income,51939.43
Switzerland,99.0,,,,,,Switzerland,CHE,2.5,High income,84121.93
Tajikistan,99.8,99.8,99.7,0.1,1/01/2015,,Tajikistan,TJK,9.8,Lower middle income,889.02
Tanzania,77.9,83.2,73.1,10.1,1/01/2015,,Tanzania,TZA,22.3,Lower middle income,1050.93
Thailand,93.8,95.2,92.4,2.8,1/01/2018,,Thailand,THA,6.0,Upper middle income,7628.58
Togo,66.5,80.0,55.1,24.9,1/01/2019,,Togo,TGO,18.8,Low income,848.31
Tonga,99.4,99.4,99.5,0.1,1/01/2018,,Tonga,TON,,Upper middle income,4878.98
Trinidad and Tobago,99.0,99.2,98.7,0.5,1/01/2015,,Trinidad and Tobago,TTO,13.2,High income,15642.41
Tunisia,81.8,89.6,74.2,15.4,1/01/2015,,Tunisia,TUN,2.5,Lower middle income,3477.84
Turkmenistan,99.7,99.8,99.6,0.2,1/01/2015,,Turkmenistan,TKM,5.8,Upper middle income,7344.88
Tuvalu,99.0,,,,,,Tuvalu,TUV,,Upper middle income,4940.05
Uganda,76.5,82.7,70.8,11.9,1/01/2018,,Uganda,UGA,32.5,Low income,823.02
Ukraine,99.8,99.8,99.7,0.1,1/01/2015,,Ukraine,UKR,3.6,Upper middle income,3661.46
United Arab Emirates,97.6,98.0,96.9,1.1,1/01/2019,,United Arab Emirates,ARE,3.4,High income,45376.17
United Kingdom,99.0,,,,,,United Kingdom,GBR,2.5,High income,42662.54
United States,86.0,,,,,,United States,USA,2.5,High income,65548.07
Uruguay,98.8,98.5,99.0,0.5,1/01/2019,,Uruguay,URY,2.5,High income,18149.06
Uzbekistan,100.0,100.0,100.0,0.0,1/01/2019,,Uzbekistan,UZB,2.5,Lower middle income,1795.2
Vanuatu,87.5,88.3,86.7,1.6,1/01/2018,,Vanuatu,VUT,10.8,Lower middle income,3076.59
Zambia,86.7,90.6,83.1,7.5,1/01/2018,,Zambia,ZMB,29.2,Lower middle income,1268.12
Zimbabwe,86.5,88.5,84.6,3.9,1/01/2015,,Zimbabwe,ZWE,38.9,Lower middle income,1421.87
World,86.7,90.1,83.3,6.8,1/01/2020,,World,WLD,8.2,,11358.48
Aruba,97.5,97.5,97.5,0.0,1/01/2015,A constituent country of the Kingdom of the Netherlands.,Aruba,ABW,,High income,31902.81
Cayman Islands,98.9,98.7,99.0,0.3,1/01/2007,An overseas territory of the United Kingdom.,Cayman Islands,CYM,,High income,89846.32
Guam,99.8,99.8,99.8,0.0,1/01/2015,An unincorporated and organized territory of the United States.,Guam,GUM,,High income,37687.4
Kosovo,91.9,96.6,87.5,9.1,1/01/2003,Member of two UN specialized agencies (World Bank Group and International Monetary Fund). It is claimed by Serbia.,Kosovo,XKX,,Upper middle income,4416.03
New Caledonia,96.9,97.3,96.5,0.8,1/01/2015,Overseas region/department of France.,New Caledonia,NCL,5.9,High income,34934.58
Puerto Rico,93.3,92.8,93.8,1.0,1/01/2015,Unincorporated territory of the United States.,Puerto Rico,PRI,,High income,32916.87
