Country,Literacy rate (all),Male literacy,Female literacy,Gender difference,Year,Notes,Country Name,Country Code,undernourished rate in (2021),IncomeGroup,GDP per capita (2021)
Hungary,99.1,99.1,99.0,0.1,1/01/2015,,Hungary,HUN,2.5,High income,18755.1
Iceland,99.0,,,,,,Iceland,ISL,2.5,High income,69252.31
India,74.4,82.4,65.8,16.6,1/01/2018,,India,IND,16.6,Lower middle income,2250.18
Indonesia,96.0,97.4,94.6,2.8,1/01/2020,,Indonesia,IDN,5.9,Upper middle income,4334.23
Iraq,85.6,91.2,79.9,11.3,1/01/2017,,Iraq,IRQ,16.3,Upper middle income,4816.78
Ireland,99.0,,,,,,Ireland,IRL,2.5,High income,102001.8
Israel,97.8,98.7,96.8,1.9,1/01/2011,,Israel,ISR,2.5,High income,52129.52
Italy,99.2,99.4,99.0,0.4,1/01/2018,,Italy,ITA,2.5,High income,36441.06
Jamaica,88.7,84.0,93.1,9.1,1/01/2015,,Jamaica,JAM,8.3,Upper middle income,5183.58
Japan,99.0,,,,,,Japan,JPN,3.2,High income,40058.54
Jordan,98.2,98.6,97.8,0.8,1/01/2018,,Jordan,JOR,,Lower middle income,4152.76
Kazakhstan,99.8,99.8,99.7,0.1,1/01/2018,,Kazakhstan,KAZ,2.5,Upper middle income,10270.89
Kenya,81.5,85.0,78.2,6.8,1/01/2018,,Kenya,KEN,27.8,Lower middle income,2069.66
Kiribati,,,,,,,Kiribati,KIR,12.1,Lower middle income,2244.11
Kuwait,96.5,97.1,95.4,1.7,1/01/2020,,Kuwait,KWT,2.5,High income,33358.46
Latvia,99.9,99.9,99.9,0.0,1/01/2018,,Latvia,LVA,2.5,High income,20930.4
Lebanon,95.1,96.9,93.3,3.6,1/01/2018,,Lebanon,LBN,,Lower middle income,4136.15
Lesotho,79.4,70.1,88.3,18.2,1/01/2015,,Lesotho,LSO,46.0,Lower middle income,1054.93
Liberia,48.3,62.7,34.1,28.6,1/01/2017,,Liberia,LBR,38.4,Low income,676.44
Libya,91.0,96.7,85.6,11.1,1/01/2015,,Libya,LBY,8.4,Upper middle income,7095.0
Liechtenstein,100.0,,,,,,Liechtenstein,LIE,,High income,197504.55
Lithuania,99.8,99.8,99.8,0.0,1/01/2015,,Lithuania,LTU,2.5,High income,23849.62
Luxembourg,100.0,,,,,,Luxembourg,LUX,2.5,High income,133711.79
Madagascar,76.7,78.4,75.1,3.3,1/01/2018,,Madagascar,MDG,51.0,Low income,503.35
Malawi,62.1,69.8,55.2,14.6,1/01/2015,,Malawi,MWI,17.8,Low income,632.53
Malaysia,95.0,96.2,93.6,2.6,1/01/2019,,Malaysia,MYS,2.7,Upper middle income,11134.62
Maldives,97.7,97.3,98.1,0.8,1/01/2016,,Maldives,MDV,,Upper middle income,10076.32
Mali,35.5,46.2,25.7,20.5,1/01/2018,,Mali,MLI,12.8,Low income,881.51
Malta,94.5,93.0,96.0,3.0,1/01/2018,,Malta,MLT,4.6,High income,34951.71
Marshall Islands,98.3,98.3,98.2,0.1,1/01/2011,,Marshall Islands,MHL,,Upper middle income,6130.44
Mauritania,53.5,63.7,43.4,20.3,1/01/2017,,Mauritania,MRT,8.7,Lower middle income,1998.39
Mauritius,91.3,93.4,89.4,4.0,1/01/2018,,Mauritius,MUS,6.8,Upper middle income,9068.97
Mexico,95.2,96.1,94.5,1.6,1/01/2020,,Mexico,MEX,2.5,Upper middle income,10363.19
Moldova,99.4,99.7,99.1,0.6,1/01/2015,,Moldova,MDA,2.5,Upper middle income,5274.61
Monaco,99.0,,,,,,Monaco,MCO,,High income,235132.78
Mongolia,99.2,99.1,99.2,0.1,1/01/2020,,Mongolia,MNG,8.0,Upper middle income,4566.14
Montenegro,98.8,99.5,98.3,1.2,1/01/2018,,Montenegro,MNE,2.5,Upper middle income,9465.96
Morocco,73.8,83.3,64.6,18.7,1/01/2018,,Morocco,MAR,6.3,Lower middle income,3767.52
Mozambique,60.7,72.6,50.3,22.3,1/01/2017,,Mozambique,MOZ,30.5,Low income,504.04
Myanmar,89.1,92.4,86.3,6.1,1/01/2019,,Myanmar,MMR,3.8,Lower middle income,1233.23
Namibia,91.5,91.6,91.4,0.2,1/01/2018,,Namibia,NAM,17.1,Upper middle income,4901.88
Nauru,95.0,,,,,,Nauru,NRU,,High income,14018.89
Nepal,67.9,78.6,59.7,18.9,1/01/2018,,Nepal,NPL,5.4,Lower middle income,1229.39
Netherlands,99.0,,,,,,Netherlands,NLD,2.5,High income,58727.87
New Zealand,99.0,,,,,,New Zealand,NZL,2.5,High income,49624.18
Nicaragua,82.6,82.4,82.8,0.4,1/01/2015,,Nicaragua,NIC,17.8,Lower middle income,2064.66
Niger,35.1,43.6,26.7,16.9,1/01/2018,,Niger,NER,16.1,Low income,590.63
Nigeria,62.0,71.3,52.7,18.6,1/01/2018,,Nigeria,NGA,15.9,Lower middle income,2065.77
North Macedonia,98.4,99.1,97.6,1.5,1/01/2020,,North Macedonia,MKD,3.6,Upper middle income,7620.8
Norway,100.0,,,,,,Norway,NOR,2.5,High income,93072.89
Oman,95.7,97.0,92.7,4.3,1/01/2018,,Oman,OMN,2.8,High income,19509.47
Pakistan,58.0,69.3,46.5,22.8,1/01/2019,,Pakistan,PAK,18.5,Lower middle income,1506.11
Palau,96.6,96.8,96.3,0.5,1/01/2015,,Palau,PLW,,High income,12752.9
Panama,95.7,98.8,95.4,3.4,1/01/2019,,Panama,PAN,5.3,High income,15491.29
Papua New Guinea,64.2,65.6,62.8,2.8,1/01/2015,,Papua New Guinea,PNG,23.4,Lower middle income,2624.6
Paraguay,94.5,94.9,94.2,0.7,1/01/2020,,Paraguay,PRY,4.2,Upper middle income,5959.44
Peru,94.5,97.0,92.0,5.0,1/01/2020,,Peru,PER,7.0,Upper middle income,6713.66
Philippines,96.3,95.7,96.9,1.2,1/01/2019,,Philippines,PHL,5.2,Lower middle income,3460.54
Poland,99.8,99.9,99.7,0.2,1/01/2015,,Poland,POL,2.5,High income,18050.28
Portugal,96.1,97.4,95.1,2.3,1/01/2018,,Portugal,PRT,2.5,High income,24661.17
Qatar,93.5,92.4,94.7,2.3,1/01/2017,,Qatar,QAT,,High income,66858.74
Romania,98.8,99.1,98.6,0.5,1/01/2018,,Romania,ROU,2.5,High income,14946.62
Russia,99.7,99.7,99.7,0.0,1/01/2018,,Russia,RUS,2.5,High income,12521.52
Rwanda,73.2,77.6,69.4,8.2,1/01/2018,,Rwanda,RWA,31.6,Low income,822.27
Samoa,99.1,99.0,99.2,0.2,1/01/2018,,Samoa,WSM,4.6,Lower middle income,3857.69
San Marino,99.9,99.9,99.9,0.0,1/01/2018,,San Marino,SMR,,High income,54982.45
Saudi Arabia,97.6,98.6,96.0,2.6,1/01/2020,,Saudi Arabia,SAU,3.8,High income,24315.62
Senegal,51.9,64.8,39.8,25.0,1/01/2017,,Senegal,SEN,5.7,Lower middle income,1630.7
Serbia,99.5,99.9,99.1,0.8,1/01/2019,,Serbia,SRB,2.5,Upper middle income,9232.96
Seychelles,95.9,95.4,96.4,1.0,1/01/2018,,Seychelles,SYC,4.3,High income,14982.91
Sierra Leone,43.2,51.6,39.8,11.8,1/01/2018,,Sierra Leone,SLE,27.8,Low income,504.62
Singapore,97.5,98.9,96.1,2.8,1/01/2019,,Singapore,SGP,,High income,79601.41
Slovenia,99.7,99.7,99.7,0.0,1/01/2015,,Slovenia,SVN,2.5,High income,29331.06
Solomon Islands,77.0,,,,,,Solomon Islands,SLB,19.0,Lower middle income,2151.29
Somalia,39.0,,,,,,Somalia,SOM,48.7,Low income,576.52
South Africa,95.0,95.5,94.5,1.0,1/01/2019,,South Africa,ZAF,7.9,Upper middle income,7073.61
South Sudan,34.5,40.3,28.9,11.4,1/01/2018,,South Sudan,SSD,21.4,Low income,
Spain,98.6,99.0,98.2,0.8,1/01/2020,,Spain,ESP,2.5,High income,30488.82
Sri Lanka,92.3,93.0,91.6,1.4,1/01/2019,,Sri Lanka,LKA,5.3,Lower middle income,3999.34
Sudan,60.7,65.4,56.1,9.3,1/01/2018,,Sudan,SDN,11.9,Low income,749.71
Suriname,94.4,96.1,92.7,3.4,1/01/2018,,Suriname,SUR,9.0,Upper middle income,5026.88
Eswatini,88.4,88.3,88.5,0.2,1/01/2018,,Eswatini,SWZ,11.6,Lower middle income,4068.57
Sweden,99.0,,,,,,Sweden,SWE,2.5,High income,61417.68
Switzerland,99.0,,,,,,Switzerland,CHE,2.5,High income,93446.43
Tajikistan,99.8,99.8,99.7,0.1,1/01/2015,,Tajikistan,TJK,9.3,Lower middle income,916.69
Tanzania,77.9,83.2,73.1,10.1,1/01/2015,,Tanzania,TZA,23.5,Lower middle income,1146.03
Thailand,93.8,95.2,92.4,2.8,1/01/2018,,Thailand,THA,5.2,Upper middle income,7070.51
Togo,66.5,80.0,55.1,24.9,1/01/2019,,Togo,TGO,17.4,Low income,965.0
Tonga,99.4,99.4,99.5,0.1,1/01/2018,,Tonga,TON,,Upper middle income,4425.97
Trinidad and Tobago,99.0,99.2,98.7,0.5,1/01/2015,,Trinidad and Tobago,TTO,12.2,High income,16056.3
Tunisia,81.8,89.6,74.2,15.4,1/01/2015,,Tunisia,TUN,3.0,Lower middle income,3817.38
Turkmenistan,99.7,99.8,99.6,0.2,1/01/2015,,Turkmenistan,TKM,5.7,Upper middle income,7885.3
Tuvalu,99.0,,,,,,Tuvalu,TUV,,Upper middle income,5372.76
Uganda,76.5,82.7,70.8,11.9,1/01/2018,,Uganda,UGA,31.6,Low income,883.89
Ukraine,99.8,99.8,99.7,0.1,1/01/2015,,Ukraine,UKR,4.8,Upper middle income,4827.85
United Arab Emirates,97.6,98.0,96.9,1.1,1/01/2019,,United Arab Emirates,ARE,2.5,High income,44332.34
United Kingdom,99.0,,,,,,United Kingdom,GBR,2.5,High income,46869.76
United States,86.0,,,,,,United States,USA,2.5,High income,71055.88
Uruguay,98.8,98.5,99.0,0.5,1/01/2019,,Uruguay,URY,2.5,High income,17733.86
Uzbekistan,100.0,100.0,100.0,0.0,1/01/2019,,Uzbekistan,UZB,2.5,Lower middle income,1993.42
Vanuatu,87.5,88.3,86.7,1.6,1/01/2018,,Vanuatu,VUT,9.5,Lower middle income,2978.01
Zambia,86.7,90.6,83.1,7.5,1/01/2018,,Zambia,ZMB,29.8,Lower middle income,1134.71
Zimbabwe,86.5,88.5,84.6,3.9,1/01/2015,,Zimbabwe,ZWE,38.4,Lower middle income,1773.92
World,86.7,90.1,83.3,6.8,1/01/2020,,World,WLD,9.2,,12362.46
Aruba,97.5,97.5,97.5,0.0,1/01/2015,A constituent country of the Kingdom of the Netherlands.,Aruba,ABW,,High income,29127.76
Cayman Islands,98.9,98.7,99.0,0.3,1/01/2007,An overseas territory of the United Kingdom.,Cayman Islands,CYM,,High income,88940.16
Guam,99.8,99.8,99.8,0.0,1/01/2015,An unincorporated and organized territory of the United States.,Guam,GUM,,High income,36555.76
Kosovo,91.9,96.6,87.5,9.1,1/01/2003,Member of two UN specialized agencies (World Bank Group and International Monetary Fund). It is claimed by Serbia.,Kosovo,XKX,,Upper middle income,5270.55
New Caledonia,96.9,97.3,96.5,0.8,1/01/2015,Overseas region/department of France.,New Caledonia,NCL,4.8,High income,37247.49
Puerto Rico,93.3,92.8,93.8,1.0,1/01/2015,Unincorporated territory of the United States.,Puerto Rico,PRI,,High income,32619.25
